route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
97,7,613,613: MORRO DA CONCEIÇÃO (BACURAU)	,,3,,,
98,7,641,641: TI MACAXEIRA / ENCRUZILHADA	,,3,,,
99,6,1904,1904: IGARASSU / NOVA CRUZ	,,3,,,
100,6,1905,1905: TI IGARASSU / TI ABREU E LIMA,,3,,,
101,6,1911,1911: OURO PRETO (COHAB)	,,3,,,
102,6, 1912,(EXTINTA) 1912: CAETÉS I / TI PELÓPIDAS,,3,,,
103,6,1913,1913: TI PE - 15 / TI JOANA BEZERRA	,,3,,,
104,6, 1917,(EXTINTA) 1917: CAETÉS II / TI PELÓPIDAS,,3,,,
105,6,1903,1903: ARAÇOIABA / TI IGARASSU	,,3,,,
106,6,1921,1921: OURO PRETO (JATOBÁ I)	,,3,,,
107,6,1922,1922: PAU AMARELO / TI PELÓPIDAS	,,3,,,
108,6,1926,1926: OURO PRETO (JATOBÁ II)	,,3,,,
109,6,1927,1927: OURO PRETO (BACURAU)	,,3,,,
110,6,1928,1928: MARANGUAPE II (BACURAU)	,,3,,,
111,6,1929,1929: ALAMEDA PAULISTA / RIO DOCE (MARANGUAPE	,,3,,,
112,6, 1931,(EXTINTA) 1931: JARDIM PAULISTA BAIXO / TI PE-15,,3,,,
113,6, 1932,(EXTINTA) 1932: JARDIM PAULISTA ALTO / TI PE-15	,,3,,,
114,6,1933,1933: ABREU E LIMA / TI PELÓPIDAS	,,3,,,
115,6, 1934,(EXTINTA) 1934: ARTHUR LUNDGREN I / TI PE-15,,3,,,
116,6, 1935,(EXTINTA) 1935: PARATIBE / TI PE-15	,,3,,,
117,6,1936,1936: MIRUEIRA (BACURAU)	,,3,,,
118,6,1937,1937: NOBRE / TI PELÓPIDAS	,,3,,,
119,6, 1940,(EXTINTA) 1940: ABREU E LIMA / OLINDA,,3,,,
120,6, 1941,(EXTINTA) 1941: ARTHUR LUNDGREN II / TI PE- 15	,,3,,,
121,6,1944,1944: LOT. CONCEIÇÃO / TI PELÓPIDAS	,,3,,,
122,6,1945,1945: JAGUARANA (ALAMEDA) / TI PELÓPIDAS	,,3,,,
123,6,1946,1946: TI IGARASSU (PCR)	,,3,,,
124,6,1949,1949: CAÉTES / CENTRO DE PAULISTA (PARATIBE)	,,3,,,
125,6,1950,1950: ENGENHO MARANGUAPE / VARADOURO	,,3,,,
126,6,1909,1909: TI PELÓPIDAS / TI JOANA BEZERRA	,,3,,,
127,6,1953,1953: MARANGUAPE II / TI PELÓPIDAS	,,3,,,
128,6,1952,1952: MARANGUAPE I / TI PELÓPIDAS,,3,,,
129,6,1964,1964: TI IGARASSU / TI MACAXEIRA,,3,,,
130,6,1966,1966: RIO DOCE (CIRCULAR)	,,3,,,
132,6,1967,1967: TI IGARASSU (DANTAS BARRETO)	,,3,,,
133,6,1968,1968: ILHA DE ITAMARACÁ / TI IGARASSU	,,3,,,
134,6,1969,1969: ITAPISSUMA / TI IGARASSU	,,3,,,
135,6,1970,1970: TI PELÓPIDAS / TI PE-15	,,3,,,
137,6,1972,1972: BULTRINS	,,3,,,
