stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
7682,PA19921,DESEMBARQUE TI Recife,Parada,-8.06876418750644,-34.8851560446,,,,,America/Recife
7540,PA95160,EMBARQUE 01 - TI Barro,Parada,-8.08827298666129,-34.9457904160636,,,,,America/Recife
6257,190164,190164,Parada,-8.08593050551924,-34.9457305545015,,,,,America/Recife
6258,190165,190165,Parada,-8.08073328787174,-34.9430527768419,,,,,America/Recife
6259,190166,190166,Parada,-8.07690272714344,-34.9427361108815,,,,,America/Recife
2584,80297,80297,Parada,-8.07223606500167,-34.9452416662611,,,,,America/Recife
6129,190035,190035,Parada,-8.07930828178235,-34.9433055553099,,,,,America/Recife
6130,190036,190036,Parada,-8.08166940094068,-34.943386110948,,,,,America/Recife
6131,190037,190037,Parada,-8.08530550758765,-34.9457444441022,,,,,America/Recife
7522,PA95145,EMBARQUE 07 - TI Aeroporto,Parada,-8.13433435783925,-34.915310678133,,,,,America/Recife
749,20051,20051,Parada,-8.12758300214821,-34.9153371467603,,,,,America/Recife
752,20054,20054,Parada,-8.125438838008,-34.9149305550228,,,,,America/Recife
750,20052,20052,Parada,-8.1254045316655,-34.9149568383007,,,,,America/Recife
753,20055,20055,Parada,-8.12065550738967,-34.914016666528,,,,,America/Recife
751,20053,20053,Parada,-8.12062360642969,-34.9140601457691,,,,,America/Recife
754,20056,20056,Parada,-8.11826384511873,-34.9135555551971,,,,,America/Recife
755,20057,20057,Parada,-8.1067599952252,-34.911315437993,,,,,America/Recife
756,20058,20058,Parada,-8.10286351758399,-34.9105604686201,,,,,America/Recife
757,20059,20059,Parada,-8.09896792636159,-34.9099896350934,,,,,America/Recife
758,20060,20060,Parada,-8.0965831673681,-34.9096008559159,,,,,America/Recife
759,20061,20061,Parada,-8.09378823283404,-34.9089780163367,,,,,America/Recife
760,20062,20062,Parada,-8.09173037684682,-34.9085319313104,,,,,America/Recife
763,20065,20065,Parada,-8.08886106789386,-34.9078472216768,,,,,America/Recife
761,20063,20063,Parada,-8.08884515170316,-34.9078753059376,,,,,America/Recife
762,20064,20064,Parada,-8.08596571905679,-34.9072300919657,,,,,America/Recife
764,20066,20066,Parada,-8.08596106047941,-34.9071861103585,,,,,America/Recife
5700,180011,180011,Parada,-8.08050828875608,-34.9043444438196,,,,,America/Recife
5692,180003,180003,Parada,-8.07730550653361,-34.9067333327086,,,,,America/Recife
7250,PA19583,180441,Parada,-8.07936192774324,-34.9068046886131,,,,,America/Recife
6086,180458,180458,Parada,-8.08094506551572,-34.9063146682876,,,,,America/Recife
6085,180457,180457,Parada,-8.0810943995565,-34.9060916662662,,,,,America/Recife
705,20004,20004,Parada,-8.08599161920817,-34.9075305547085,,,,,America/Recife
706,20005,20005,Parada,-8.08927773082726,-34.9082833325594,,,,,America/Recife
707,20008,20008,Parada,-8.09937217845759,-34.9103083331766,,,,,America/Recife
